BioSample	Experiment	Library_Name	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	isolate	Assay_Type	AvgSpotLen	BioProject	BioSampleModel	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	biomaterial_provider	cell_line	sex	tissue
SAMN08038119	SRX3402037	RHM269_3h	1456	987	SRR6301033	SRS2696022	RHM269_3h	123	RHM269_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038118	SRX3402036	RHM268_3h	696	474	SRR6301034	SRS2696021	RHM268_3h	122	RHM268_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038121	SRX3402035	RHM277_3h	748	507	SRR6301035	SRS2696020	RHM277_3h	125	RHM277_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038120	SRX3402034	RHM276_3h	772	526	SRR6301036	SRS2696019	RHM276_3h	124	RHM276_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038123	SRX3402033	RHM279_3h	1096	745	SRR6301037	SRS2696017	RHM279_3h	127	RHM279_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038122	SRX3402032	RHM278_3h	1182	799	SRR6301038	SRS2696018	RHM278_3h	126	RHM278_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038125	SRX3402031	RHM285_3h	1175	795	SRR6301039	SRS2696015	RHM285_3h	129	RHM285_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038124	SRX3402030	RHM284_3h	851	578	SRR6301040	SRS2696016	RHM284_3h	128	RHM284_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038127	SRX3402029	RHM292_3h	787	539	SRR6301041	SRS2696014	RHM292_3h	131	RHM292_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
SAMN08038126	SRX3402028	RHM287_3h	1432	969	SRR6301042	SRS2696013	RHM287_3h	130	RHM287_3h	RNA-Seq	150	PRJNA418865	Human	UNIVERSITY OF MACAU	public	sra	sra-sos	sra-sos.public	0	Illumina HiSeq 2000	PAIRED	PolyA	TRANSCRIPTOMIC	2017-11-16	Homo sapiens	ILLUMINA	2017-11-16	SRP125153	Edwin CHEUNG	MCF-7	female	breast
